"Path","LOC","LastModified","Purpose","Dependencies","UsedByCount","UsedBySamples"
".env.example","31","2026-03-09T06:24:37Z","Environment variable template","","0",""
".github/ISSUE_TEMPLATE/bug_report.md","36","2026-02-25T05:58:50Z","Project artifact / documentation / script","","0",""
".github/ISSUE_TEMPLATE/feature_request.md","17","2026-02-25T05:58:56Z","Project artifact / documentation / script","","0",""
".github/PULL_REQUEST_TEMPLATE.md","27","2026-02-25T05:58:58Z","Project artifact / documentation / script","","0",""
".gitignore","49","2026-03-09T07:22:18Z","Project artifact / documentation / script","","0",""
"alembic.ini","72","2026-02-12T14:26:47Z","Project artifact / documentation / script","","0",""
"API_DOCUMENTATION.md","302","2026-03-09T06:32:07Z","Endpoint documentation","","0",""
"app/__init__.py","0","2026-02-12T14:02:15Z","Project artifact / documentation / script","","0",""
"app/api/__init__.py","0","2026-02-12T14:04:13Z","Project artifact / documentation / script","","0",""
"app/api/v1/__init__.py","0","2026-02-12T14:04:16Z","Project artifact / documentation / script","","0",""
"app/api/v1/api.py","14","2026-02-24T10:03:07Z","Project artifact / documentation / script","from fastapi import APIRouter; from app.api.v1.endpoints import auth, employees, reports, settings","0",""
"app/api/v1/deps.py","105","2026-03-09T06:32:30Z","Project artifact / documentation / script","from __future__ import annotations; from collections.abc import AsyncGenerator; from typing import Optional; from urllib.parse import urlparse; from fastapi import Cookie, Depends, HTTPException, Request, status; from fastapi.security import OAuth2PasswordBearer; from sqlalchemy import select; from sqlalchemy.ext.asyncio import AsyncSession; from app.core.security import decode_access_token; from app.db.session import async_session_factory; from app.models.user import User","0",""
"app/api/v1/endpoints/__init__.py","0","2026-02-12T14:04:24Z","Project artifact / documentation / script","","0",""
