"Path","LOC","LastModified","Dependencies"
".env.example","31","2026-03-09T06:24:37Z",""
".github/ISSUE_TEMPLATE/bug_report.md","36","2026-02-25T05:58:50Z",""
".github/ISSUE_TEMPLATE/feature_request.md","17","2026-02-25T05:58:56Z",""
".github/PULL_REQUEST_TEMPLATE.md","27","2026-02-25T05:58:58Z",""
".gitignore","49","2026-03-09T07:22:18Z",""
"alembic.ini","72","2026-02-12T14:26:47Z",""
"API_DOCUMENTATION.md","302","2026-03-09T06:32:07Z",""
"app/__init__.py","0","2026-02-12T14:02:15Z",""
"app/api/__init__.py","0","2026-02-12T14:04:13Z",""
"app/api/v1/__init__.py","0","2026-02-12T14:04:16Z",""
"app/api/v1/api.py","14","2026-02-24T10:03:07Z","from fastapi import APIRouter; from app.api.v1.endpoints import auth, employees, reports, settings"
"app/api/v1/deps.py","105","2026-03-09T06:32:30Z","from __future__ import annotations; from collections.abc import AsyncGenerator; from typing import Optional; from urllib.parse import urlparse; from fastapi import Cookie, Depends, HTTPException, Request, status; from fastapi.security import OAuth2PasswordBearer; from sqlalchemy import select; from sqlalchemy.ext.asyncio import AsyncSession; from app.core.security import decode_access_token; from app.db.session import async_session_factory; from app.models.user import User"
"app/api/v1/endpoints/__init__.py","0","2026-02-12T14:04:24Z",""
"app/api/v1/endpoints/auth.py","160","2026-03-09T06:17:45Z","from __future__ import annotations; from fastapi import APIRouter, Cookie, Depends, HTTPException, Request, Response, status; from fastapi.security import OAuth2PasswordRequestForm; from slowapi import Limiter; from slowapi.util import get_remote_address; from sqlalchemy import select; from sqlalchemy.ext.asyncio import AsyncSession; from app.api.v1.deps import get_current_active_user, get_db, require_admin; from app.core.config import settings; from app.core.security import (; from app.models.user import User; from app.schemas.attendance import LogoutResponse; from app.schemas.token import RefreshRequest, Token; from app.schemas.user import UserCreate, UserRead"
"app/api/v1/endpoints/employees.py","304","2026-03-09T06:44:53Z","from __future__ import annotations; import logging; from datetime import datetime; from fastapi import APIRouter, Depends, HTTPException, Query; from sqlalchemy import select; from sqlalchemy.exc import IntegrityError; from sqlalchemy.ext.asyncio import AsyncSession; from app.api.v1.deps import get_current_active_user, get_db, require_admin; from app.core.config import settings; from app.core.timeutils import business_date_str, ensure_utc, is_late_arrival, utc_now; from app.models.attendance_settings import AttendanceSettings; from app.models.employee import Attendance, Employee; from app.models.user import User; from app.schemas.attendance import ("
"app/api/v1/endpoints/reports.py","934","2026-03-09T06:44:45Z","from __future__ import annotations; import calendar; import csv; import io; import json; import logging; from collections import defaultdict; from datetime import date, datetime, timedelta; import re; from fastapi import APIRouter, Depends, HTTPException, Query; from fastapi.responses import StreamingResponse; from sqlalchemy import delete as sa_delete; from sqlalchemy import func, select; from sqlalchemy.ext.asyncio import AsyncSession; from app.api.v1.deps import get_current_active_user, get_db, require_admin; from app.core.config import settings; from app.core.timeutils import (; from app.models.absence_override import AbsenceOverride; from app.models.attendance_settings import AttendanceSettings; from app.models.employee import Attendance, Employee; from app.models.user import User; from app.schemas.attendance import (; import redis.asyncio as aioredis; import redis.asyncio as aioredis"
"app/api/v1/endpoints/settings.py","69","2026-03-09T06:18:02Z","from __future__ import annotations; import logging; from datetime import datetime; from fastapi import APIRouter, Depends, HTTPException; from sqlalchemy import select; from sqlalchemy.ext.asyncio import AsyncSession; from app.api.v1.deps import get_db, require_admin; from app.models.attendance_settings import AttendanceSettings; from app.models.user import User; from app.schemas.attendance import AttendanceSettingsRead, AttendanceSettingsUpdate"
"app/core/__init__.py","0","2026-02-12T14:02:25Z",""
"app/core/config.py","87","2026-03-09T06:19:26Z","from __future__ import annotations; import json; import logging; from pydantic import field_validator, model_validator; from pydantic_settings import BaseSettings"
"app/core/exceptions.py","38","2026-02-25T05:26:14Z","from __future__ import annotations; import logging; from fastapi import FastAPI, HTTPException, Request; from fastapi.responses import JSONResponse; from sqlalchemy.exc import IntegrityError, SQLAlchemyError"
"app/core/security.py","55","2026-02-25T05:26:14Z","from __future__ import annotations; from datetime import datetime, timedelta, timezone; from typing import Any; from jose import JWTError, jwt; from passlib.context import CryptContext; from app.core.config import settings"
"app/core/timeutils.py","49","2026-03-09T06:19:04Z","from __future__ import annotations; import re; from datetime import date, datetime, timedelta, timezone"
"app/db/__init__.py","0","2026-02-12T14:02:57Z",""
"app/db/base.py","4","2026-02-25T05:34:10Z","from sqlalchemy.orm import DeclarativeBase"
"app/db/session.py","35","2026-02-25T05:26:14Z","from __future__ import annotations; from collections.abc import AsyncGenerator; from sqlalchemy.ext.asyncio import AsyncSession, async_sessionmaker, create_async_engine; from app.core.config import settings"
